titre,date,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,box_office_total,note_presse,note_spectateurs,nombre_article,recompenses,description
Love Life,14/06/2023,124,Kôji Fukada, Art House ,"Fumino Kimura,Tomorowo Taguchi,Tetta Shimada",,Japon,"Japonais, Coréen, Langue des signes",Long-métrage,2022,-,87 185 entrées,"3,7","3,8",25 articles de presse,4 nominations,"Taeko vit avec son époux Jiro et son fils Keita en face de chez ses beaux-parents. Tandis qu'elle découvre l’existence d'une ancienne fiancée de son mari, le père biologique de Keita refait surface. C'est le début d'un cruel jeu de chaises musicales, dont personne ne sortira indemne."
Les Trois Mousquetaires: D'Artagnan,05/04/2023,121,Martin Bourboulon, Pathé ,"François Civil,Vincent Cassel,Romain Duris",,France,Français,Long-métrage,2023,60 M€,3 337 102 entrées,"3,7","4,0",37 articles de presse,,"Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France."
Bird Box Barcelona,14/07/2023,110,David Pastor,-,"Mario Casas,Georgina Campbell,Diego Calva",,U.S.A.,Espagnol,Long-métrage,2023,-,,"2,3",,50 Critiques Spectateurs,,"Les producteurs du phénomène mondial ""Bird Box"" présentent ""Bird Box Barcelona"", qui vient enrichir l'univers ayant captivé le public en 2018. Après qu'une force mystérieuse a décimé la population mondiale, Sebastian doit tenter de survivre dans les rues désertes de Barcelone. Tandis qu'il forme une alliance de fortune avec d'autres survivants pour fuir la ville, une menace plus sombre encore se profile."
Les Damnés ne pleurent pas,26/07/2023,111,Fyzal Boulifa, New Story ,"Aïcha Tebbae,Abdellah El Hajjouji,Antoine Reinartz",,France,"Français, Arabe",Long-métrage,2022,-,779 entrées,"3,1","3,5",8 articles de presse,,"Fatima-Zahra traîne son fils de 17 ans, Selim, de ville en ville, fuyant les scandales qui éclatent sur sa route. Quand Selim découvre la vérité sur leur passé, Fatima-Zahra lui promet un nouveau départ. Ils arrivent alors à Tanger, où de nouvelles rencontres leur donnent l’espoir d’atteindre la légitimité qu’ils recherchent tant. Mais ces aspirations menacent la relation fusionnelle qui les lie depuis toujours."
Nymph()maniac - Director's cut,06/01/2015,327,Lars von Trier, Les Films du Losange ,"Charlotte Gainsbourg,Stellan Skarsgård,Stacy Martin",,Danemark,Anglais,Long-métrage,2013,-,,"4,0",,7 Critiques Spectateurs,,Version longue et director's cut de Nymphomaniac volume I et II.
Paula,19/07/2023,98,Angela Ottobah, Arizona Distribution ,"Finnegan Oldfield,Aline Helan-Boudon, Océan",,France,Français,Long-métrage,2021,-,1 273 entrées,"3,1","2,7",13 articles de presse,,"Paula a 11 ans. L’école l'ennuie et elle n'a qu'un seul ami, Achille. Son père lui fait une surprise : ils vont passer l’été dans la maison de ses rêves au bord d’un lac. Mais le temps file, l'automne approche et ils ne rentrent toujours pas."
Blanquita,26/07/2023,94,Fernando Guzzoni, ASC Distribution ,"Laura Lopez Campbell,Alejandro Goic,Amparo Noguera",,Chili,Espagnol,Long-métrage,2022,-,209 entrées,"3,0","3,2",5 articles de presse,2 nominations,"Blanca (18 ans) vit à Santiago dans un foyer pour mineurs dirigé par le prêtre Manuel Cura (50 ans). Témoin clé d’une affaire de scandale sexuel impliquant des politiciens chiliens, Blanca se retrouve poussée par Manuel au centre de l’attention médiatique. Elle devient une héroïne féministe pour certains, mais plus l’enquête avance, moins le rôle de Blanca semble clair…"
Un hiver en été,26/07/2023,110,Laetitia Masson, Jour2fête ,"Benjamin Biolay,Élodie Bouchez,Judith Chemla",,France,Français,Long-métrage,2022,-,649 entrées,"1,8","1,7",12 articles de presse,,"Dix personnages surpris par un froid glacial en plein été. Des rencontres, de la solitude, de l’espoir, de la peur, de l’amour, une chanson, la lutte des classes, et des rêves. Dix fragments d’humanité qui forment un tableau impressionniste de la France, aujourd’hui. Un hommage aux Nymphéas."
Le Challenge,21/06/2023,103,Gene Stupnitsky, Sony Pictures Releasing France ,"Jennifer Lawrence,Andrew Barth Feldman,Laura Benanti",No Hard Feelings,U.S.A.,Anglais,Long-métrage,2023,-,117 752 entrées,"3,0","3,1",5 articles de presse,,"Maddie est sur le point de perdre sa maison d’enfance et elle pense avoir trouvé la solution à ses problèmes financiers lorsqu’elle tombe sur une offre d’emploi intrigante : parents fortunés cherchent quelqu’un pour emmener Percy, leur fils introverti de 19 ans, dans une série de « dates » afin de le décoincer avant qu’il ne parte pour l’université. A la grande surprise de Maddie, Percy rend ce challenge plus compliqué que prévu et le temps est compté. Elle a un été pour relever ce challenge ou se retrouver sans toit."
Fast & Furious X,17/05/2023,141,Louis Leterrier, Universal Pictures International France ,"Vin Diesel,Michelle Rodriguez,Jason Momoa",Fast X,U.S.A.,Anglais,Long-métrage,2023,-,2 298 366 entrées,"2,9","3,1",15 articles de presse,,"Après bien des missions et contre toute attente, Dom Toretto et sa famille ont su déjouer, devancer, surpasser et distancer tous les adversaires qui ont croisé leur route. Ils sont aujourd’hui face à leur ennemi le plus terrifiant et le plus intime : émergeant des brumes du passé, ce revenant assoiffé de vengeance est bien déterminé à décimer la famille en réduisant à néant tout ce à quoi, et surtout à qui Dom ait jamais tenu."
John Wick : Chapitre 4,22/03/2023,170,Chad Stahelski, Metropolitan FilmExport ,"Keanu Reeves,Donnie Yen,Bill Skarsgård",John Wick: Chapter 4,U.S.A.,Anglais,Long-métrage,2023,-,1 054 468 entrées,"3,6","3,9",31 articles de presse,,"John Wick découvre un moyen de vaincre l’organisation criminelle connue sous le nom de la Grande Table. Mais avant de gagner sa liberté, Il doit affronter un nouvel ennemi qui a tissé de puissantes alliances à travers le monde et qui transforme les vieux amis de John en ennemis."
De nos jours...,19/07/2023,84,Hong Sang-Soo, Capricci Films ,"Ki Joo-bong,Kim Min-Hee,Song Seon-mi",Woo-Ri-UI-Ha-Ru,Corée du Sud,Coréen,Long-métrage,2023,-,4 021 entrées,"3,8","2,7",13 articles de presse,,"Deux conversations en alternance à Séoul : une ancienne actrice est sollicitée par une débutante tandis qu’un vieux poète reçoit un admirateur. Les deux vedettes esquivent les questions existentielles de leur interlocuteur, la première songe à sa récente reconversion et le second bataille avec son sevrage d’alcool et de tabac."
Sexygénaires,14/06/2023,80,Robin Sykes, Apollo Films / Orange Studio ,"Thierry Lhermitte,Patrick Timsit,Marie Bunel",,France,Français,Long-métrage,2023,-,128 228 entrées,"2,8","2,6",8 articles de presse,3 nominations,"À soixante ans passés, deux amis en proie à des difficultés financières vont tirer profit de leur image dans le milieu de la mode et de la publicité. L’un est encore beau, l’autre ne l’a jamais été. Mais au-delà du jeu des apparences, qu’est-ce vraiment que d’avoir l’âge de la retraite aujourd’hui ?"
Les Herbes sèches,12/07/2023,197,Nuri Bilge Ceylan, Memento Distribution ,"Deniz Celiloğlu,Merve Dizdar,Musab Ekici",Kuru Otlar Üstüne,Turquie,Turc,Long-métrage,2023,-,48 158 entrées,"4,0","4,0",29 articles de presse,1 prix et 5 nominations,
